2017-09-26 23:18:58,226 INFO  [Main] DefaultProvisiondConfigurationDao: Loaded Provisiond Configuration in 19ms
2017-09-26 23:19:00,145 INFO  [Main] DefaultPluginRegistry: Register Extension org.opennms.netmgt.provision.detector.simple.CitrixDetector@344b01 for ExtensionPoints [interface org.opennms.netmgt.provision.AsyncServiceDetector, interface org.opennms.netmgt.provision.ServiceDetector]
2017-09-26 23:19:00,147 INFO  [Main] DefaultPluginRegistry: Register Extension org.opennms.netmgt.provision.detector.simple.FtpDetector@1282fc8 for ExtensionPoints [interface org.opennms.netmgt.provision.AsyncServiceDetector, interface org.opennms.netmgt.provision.ServiceDetector]
2017-09-26 23:19:00,147 INFO  [Main] DefaultPluginRegistry: Register Extension org.opennms.netmgt.provision.detector.simple.HttpDetector@1590fc2 for ExtensionPoints [interface org.opennms.netmgt.provision.AsyncServiceDetector, interface org.opennms.netmgt.provision.ServiceDetector]
2017-09-26 23:19:00,147 INFO  [Main] DefaultPluginRegistry: Register Extension org.opennms.netmgt.provision.detector.simple.HttpsDetector@19a1d7 for ExtensionPoints [interface org.opennms.netmgt.provision.AsyncServiceDetector, interface org.opennms.netmgt.provision.ServiceDetector]
2017-09-26 23:19:00,147 INFO  [Main] DefaultPluginRegistry: Register Extension org.opennms.netmgt.provision.detector.simple.ImapDetector@d02a4e for ExtensionPoints [interface org.opennms.netmgt.provision.AsyncServiceDetector, interface org.opennms.netmgt.provision.ServiceDetector]
2017-09-26 23:19:00,148 INFO  [Main] DefaultPluginRegistry: Register Extension org.opennms.netmgt.provision.detector.simple.MemcachedDetector@897088 for ExtensionPoints [interface org.opennms.netmgt.provision.AsyncServiceDetector, interface org.opennms.netmgt.provision.ServiceDetector]
2017-09-26 23:19:00,148 INFO  [Main] DefaultPluginRegistry: Register Extension org.opennms.netmgt.provision.detector.simple.NotesHttpDetector@13b0168 for ExtensionPoints [interface org.opennms.netmgt.provision.AsyncServiceDetector, interface org.opennms.netmgt.provision.ServiceDetector]
2017-09-26 23:19:00,148 INFO  [Main] DefaultPluginRegistry: Register Extension org.opennms.netmgt.provision.detector.simple.Pop3Detector@d962dc for ExtensionPoints [interface org.opennms.netmgt.provision.AsyncServiceDetector, interface org.opennms.netmgt.provision.ServiceDetector]
2017-09-26 23:19:00,148 INFO  [Main] DefaultPluginRegistry: Register Extension org.opennms.netmgt.provision.detector.simple.SmtpDetector@1e9881c for ExtensionPoints [interface org.opennms.netmgt.provision.AsyncServiceDetector, interface org.opennms.netmgt.provision.ServiceDetector]
2017-09-26 23:19:00,148 INFO  [Main] DefaultPluginRegistry: Register Extension org.opennms.netmgt.provision.detector.simple.TcpDetector@e722be for ExtensionPoints [interface org.opennms.netmgt.provision.AsyncServiceDetector, interface org.opennms.netmgt.provision.ServiceDetector]
